,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
149,56,56,55,1/2,1/2,4/4,1,1,ii6,,G,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
150,56,56,55,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
151,57,57,56,0,0,4/4,1,1,I\\,,G,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
152,57,57,56,1/4,1/4,4/4,1,1,},,G,I,,,,,,,,,},,False,False,,,,
153,57,57,56,1/2,1/2,4/4,1,1,vi.i{,,G,vi,,i,,i,,,,,{,m,False,True,"(0, -3, 1)",(),0,0
154,59,58,57,0,0,2/4,1,1,#viio7,,G,vi,,#viio7,,#vii,o,7,,,,o7,False,True,"(5, 2, -1, -4)",(),5,5
155,59,58,57,1/2,1/2,2/4,1,1,i,,G,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
156,60,59,58,1/2,1/2,2/4,1,1,iv/v,,G,vi,,iv/v,,iv,,,,v,,m,False,True,"(0, -3, 1)",(),0,0
157,61,60,59,0,0,2/4,1,1,V7(+9)/v,,G,vi,,V7(+9)/v,,V,,7,+9,v,,Mm7,False,True,"(2, 6, 3, 0)","(-3,)",2,2
158,61,60,59,1/4,1/4,2/4,1,1,v6,,G,vi,,v6,,v,,6,,,,m,False,True,"(-2, 2, 1)",(),1,-2
159,62,61,60,0,0,2/4,1,1,iv/iv,,G,vi,,iv/iv,,iv,,,,iv,,m,False,True,"(-2, -5, -1)",(),-2,-2
160,62,61,60,1/2,1/2,2/4,1,1,V7(+9)/iv,,G,vi,,V7(+9)/iv,,V,,7,+9,iv,,Mm7,False,True,"(0, 4, 1, -2)","(-5,)",0,0
161,62,61,60,3/4,3/4,2/4,1,1,iv6,,G,vi,,iv6,,iv,,6,,,,m,False,True,"(-4, 0, -1)",(),-1,-4
162,63,62,61,1/2,1/2,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
