,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,offset_x,offset_y,offset,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
205,35,35,133,0,0,3/8,1,1,viio7,,,,,Bb,V,,viio7,,vii,o,7,,,,o7,False,False,"(5, 2, -1, -4)",(),5,5
206,36,36,134,0,0,3/8,1,1,I\\,,,,,Bb,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
207,36,36,134,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
208,37,37,135,0,0,3/8,1,1,I.I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
209,38,38,136,0,0,3/8,1,1,viio43,,-3.85564,-4.37515,/,Bb,I,,viio43,,vii,o,43,,,,o7,False,False,"(-1, -4, 5, 2)",(),5,-1
210,38,38,136,1/8,1/8,3/8,1,1,I6,,,,,Bb,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
211,39,39,137,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
212,40,40,138,0,0,3/8,1,1,viio43,,,,,Bb,I,,viio43,,vii,o,43,,,,o7,False,False,"(-1, -4, 5, 2)",(),5,-1
213,40,40,138,1/8,1/8,3/8,1,1,I6,,,,,Bb,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
214,41,41,139,0,0,3/8,1,1,IV6,,,,,Bb,I,,IV6,,IV,,6,,,,M,False,False,"(3, 0, -1)",(),-1,3
215,42,42,140,0,0,3/8,1,1,V65,,,,,Bb,I,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
216,43,43,141,0,0,3/8,1,1,viio,,,,,Bb,I,,viio,,vii,o,,,,,o,False,False,"(5, 2, -1)",(),5,5
217,44,44,142,0,0,3/8,1,1,V65,,,,,Bb,I,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
218,45,45,143,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
219,45,45,143,1/8,1/8,3/8,1,1,ii6,,,,,Bb,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
220,45,45,143,1/4,1/4,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
221,46,46,144,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
222,47,47,145,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
223,48,48,146,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
224,49,49,147,0,0,3/8,1,1,i,,,,,Bb,I,,i,,i,,,,,,m,False,False,"(0, -3, 1)",(),0,0
225,50,50,148,0,0,3/8,1,1,.bII6,,,,,Bb,I,,bII6,,bII,,6,,,,M,False,False,"(-1, -4, -5)",(),-5,-1
226,51,51,149,0,0,3/8,1,1,viio/V,,,,,Bb,I,,viio/V,,vii,o,,,V,,o,False,False,"(6, 3, 0)",(),6,6
227,52,52,150,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
228,53,53,151,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
229,54,54,152,0,0,3/8,1,1,V65,,,,,Bb,I,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
230,55,55,153,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
231,55,55,153,1/8,1/8,3/8,1,1,V(4),,,,,Bb,I,,V(4),,V,,,4,,,M,False,False,"(1, 0, 2)",(),1,1
232,55,55,153,1/4,1/4,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
233,56,56,154,0,0,3/8,1,1,I\\,,,,,Bb,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
234,56,56,154,1/8,1/8,3/8,1,1,}{,,,,,Bb,I,,,,,,,,,}{,,False,False,,,,
235,57,57,155,0,0,3/8,1,1,I6,,,,,Bb,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
236,57,57,155,1/8,1/8,3/8,1,1,viio6,,,,,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
237,57,57,155,1/4,1/4,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
238,58,58,156,0,0,3/8,1,1,ii6,,,,,Bb,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
239,59,59,157,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
240,60,60,158,0,0,3/8,1,1,IV,,,,,Bb,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
241,60,60,158,1/8,1/8,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
242,60,60,158,1/4,1/4,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
243,61,61,159,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
244,62,62,160,0,0,3/8,1,1,V(64),,,,,Bb,I,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
245,62,62,160,1/8,1/8,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
246,63,63,161,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
247,63,63,161,1/8,1/8,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
248,64,64,162,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
249,64,64,162,1/8,1/8,3/8,1,1,ii,,,,,Bb,I,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
250,65,65,163,1/8,1/8,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
