AriaId,AriaLabel,AriaName,Year,Composer,Librettist,Act,Scene,ActAndScene,Form,Role,RoleType,City,Territory
0125,Did,Cadra_fra,1768,Boroni,M,3,14,314,ABA,Iarba,Male lover 2,Prague,Empire
0126,Did,Cadra_fra,1770,Piccinni,M,3,19,319,Al segno,Iarba,Male lover 2,Rome,Italy
0127,Did,Cadra_fra,1769,Majo,M,3,12,312,ABA,Iarba,Male lover 2,Venice,Italy
0128,Did,Cadra_fra,1762,Sarti,M,3,15,315,AB,Iarba,Male lover 2,Copenhagen,Denmark
0129,Did,Cadra_fra,1753,Perez,M,3,18,318,recit,Iarba,Male lover 2,Genova,Italy
0130,Did,Cadra_fra,1764,Galuppi,M,3,16,316,Al segno,Iarba,Male lover 2,Venice,Italy
0131,Did,Cadra_fra,1730,Sarro,M,3,16,316,Da capo,Iarba,Male lover 2,Naples,Italy
0132,Did,Cadra_fra,1776,Schuster,M,3,16,316,AA ,Iarba,Male lover 2,Naples,Italy
0133,Did,Cadra_fra,1763,Traetta,M,3,18,318,Da capo,Iarba,Male lover 2,Venice,Italy
0134,Did,Son_regina,1764,Galuppi,M,1,5,105,Al segno,Didone,Female lover 1,Venice,Italy
0135,Did,Cadra_fra,1763,Jommelli,M,3,17,317,Al segno,Iarba,Male lover 2,Stuttgart,Empire
0136,Did,Ah_non_lasciarmi,1794,Paisiello,M,2,6,206,ABA,Didone,Female lover 1,Naples,Italy
0137,Did,Cadra_fra,1775,Anfossi,M,3,14,314,ABA,Iarba,Male lover 2,Venice,Italy
0138,Did,Cara_lavverso,1739,Lampugnani,X,1,17,117,Al segno,Didone&Enea,Female lover 1,Padova,Italy
0139,Did,Dovrei_ma,1724,Sarro,M,1,2,102,recit,Enea,Male lover 1,Naples,Italy
0140,Did,Infelice_e,1739,Lampugnani,M,1,13,113,Al segno,Araspe,Male lover 3,Padova,Italy
0141,Did,Vedi_nel,1730,Sarro,M,2,8,208,Da capo,Enea,Male lover 1,Naples,Italy
0142,Did,Leon_che,1730,Sarro,M,2,3,203,Al segno,Iarba,Male lover 2,Naples,Italy
0143,Did,L_augelletto,1730,Sarro,M,2,5,205,Da capo,Araspe,Male lover 3,Naples,Italy
0144,Did,Se_vuoi,1730,Sarro,M,2,7,207,Da capo,Didone,Female lover 1,Naples,Italy
0145,Did,Ardi_per,1730,Sarro,M,2,4,204,Al segno,Selene,Female lover 2,Naples,Italy
0146,Did,Ah_non_lasciarmi,1810,Paer,M,2,2,202,ABA,Didone,Female lover 1,Paris,France
0147,Did,Tu_mi_disarmi,1742,Hasse,M,1,17,117,Al segno,Iarba,Male lover 2,Wermsdorf,Empire
0148,Did,Ogni_amator,1742,Hasse,M,1,11,111,Al segno,Selene,Female lover 2,Wermsdorf,Empire
0149,Did,Quando_saprai,1749,Jommelli,M,1,4,104,Da capo,Enea,Male lover 1,Vienna,Empire
0150,Did,Tu_mi_scorgi,1749,Jommelli,M,1,3,103,Da capo,Osmida,Antagonist,Vienna,Empire
0151,Did,Quando_saprai,1742,Hasse,M,1,10,110,Al segno,Enea,Male lover 1,Wermsdorf,Empire
0152,Did,Ogni_amator,1749,Jommelli,M,1,7,107,Da capo,Selene,Female lover 2,Vienna,Empire
0153,Did,Vedi_nel,1749,Jommelli,M,2,10,210,Da capo,Enea,Male lover 1,Vienna,Empire
0154,Did,Fosca_nube,1730,Sarro,M,2,9,209,Al segno,Iarba,Male lover 2,Naples,Italy
0155,Did,Tacero_se,1730,Sarro,M,2,11,211,Da capo,Araspe,Male lover 3,Naples,Italy
0156,Did,Non_cede,1730,Sarro, ,2,12,212,Da capo,Enea,Male lover 1,Naples,Italy
0157,Did,Veggio_la,1730,Sarro,M,2,13,213,Al segno,Selene,Female lover 2,Naples,Italy
0158,Did,Chiamami_pur,1730,Sarro,M,2,16,216,Da capo,Iarba,Male lover 2,Naples,Italy
0159,Did,Va_lusingando,1730,Sarro,M,2,17,217,Da capo,Didone,Female lover 1,Naples,Italy
0160,Did,Vivi_superbo,1730,Sarro,M,3,2,302,Da capo,Enea,Male lover 1,Naples,Italy
0161,Did,Agitata_e,1730,Sarro,M,3,4,304,Da capo,Osmida,Antagonist,Naples,Italy
0162,Did,Se_ti,1730,Sarro,X,3,5,305,Al segno,Araspe,Male lover 3,Naples,Italy
0163,Did,Sorge_cosi,1730,Sarro,X,3,6,306,Da capo,Araspe,Male lover 3,Naples,Italy
0164,Did,Va_crescendo,1730,Sarro,M,3,7,307,A,Didone,Female lover 1,Naples,Italy
0165,Did,Gia_si,1730,Sarro,M,3,13,313,Da capo,Araspe,Male lover 3,Naples,Italy
0166,Did,Vado_ma,1730,Sarro,M,3,18,318,AB,Didone,Female lover 1,Naples,Italy
0167,Did,Veggio_la,1739,Lampugnani,M,2,14,214,Al segno,Enea,Male lover 1,Padova,Italy
0168,Did,Chiamami_pur,1739,Lampugnani,M,2,17,217,Da capo,Iarba,Male lover 2,Padova,Italy
0169,Did,Parto_bell,1760,Bernasconi,X,1,18,118,Al segno,Didone&Enea,Female lover 1,Venice,Italy
0170,Did,Pensa_che,1760,Bernasconi,M,2,1,201,Al segno,Osmida,Antagonist,Venice,Italy
0171,Did,Leon_che,1741,Bernasconi,M,2,3,203,Al segno,Iarba,Male lover 2,Venice,Italy
0172,Did,Ardi_per,1760,Bernasconi,M,2,4,204,Al segno,Selene,Female lover 2,Venice,Italy
0173,Did,Vedi_nel,1760,Bernasconi,M,2,8,208,Al segno,Enea,Male lover 1,Venice,Italy
0174,Did,Tacero_se,1760,Bernasconi,M,2,11,211,Al segno,Araspe,Male lover 3,Venice,Italy
